name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"HST WFC3";"2016ApJ...820...99T";"{"H":"Theoretical prediction","He":"Theoretical prediction","HCN":"Theoretical prediction"}";0;"No";"Evidence for a light (H/He) atmosphere, retrieval model with HCN is marginally favored"
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"Spitzer";"2016Natur.532..207D";"[]";0;"Yes";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"G-B: High resolution IR";2406.09225;"{"He":"Upper limit"}";;"No";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"G-B: High resolution visible";2203.16856;"{"Fe":"Upper limit","Fe+":"Upper limit","K":"Upper limit","Mg":"Upper limit","Ca":"Upper limit","Ca+":"Upper limit"}";0;"No";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"CHEOPS";2307.06085;"[]";;"Yes";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"JWST-NIRCam";2407.12898;"[]";;"No";"Occultation depths in two bandpasses are highly variable."
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"G-B: High resolution visible";2308.10378;"{"Fe":"Upper limit"}";;"No";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"G-B: High resolution IR";2012.02198;"{"He":"No detection"}";0;"No";"No detection of escaping helium, implying lack of H2/He atmosphere"
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"G-B: High resolution visible";"2020MNRAS.498.4222T";"{"Na":"Upper limit","H":"Upper limit"}";0;"No";
"55 Cnc e";"Confirmed";0.02703;0.1737;"Hot";0.7365478;0.015439;"55 Cnc";12.34;5196.0;0.98;1996.209194777;5.95;4.7680000;4.0150000;1.26;249.7917;71.5094;"TOI-1773 e, HD 75732 e";"9/27/22";"Spitzer";2209.02090;"[]";;"Yes";"Reanalysis. Negligible hot spot offset"
"AB Pic b";"Confirmed";13.5;1.75;"Hot Jupiter";;275.0;"AB Pic";47.3;5285.0;;1700.0;9.16;7.5760000;6.9810000;1.15;;;"HD 44627 b";"8/21/24";"G-B: High resolution IR";2501.05114;"{"H2O":"Detection","CO":"Detection","Isotopic fractions":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";"Tentative variability on abundaces from night to night. Detection of 12CO and 13CO. C/O and 12C/13C determination."
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"G-B: High resolution visible";"2020A&A...643A..25P";"{"H":"No detection"}";;"No";"Stellar activity prevents the detection of atoms/molecules via transmission spectra or cross-correlation."
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"G-B: High resolution IR";2006.13243;"{"He":"Upper limit"}";;"No";"Upper limit to the equivalent width of 3.7 mA at 99% confidence."
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"HST-COS";"2024RNAAS...8...86F";"{"C+":"Upper limit","Si+":"Upper limit"}";;"No";"Upper limits for C II, C III, Si II, Si III"
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"G-B: High resolution IR";2406.09225;"{"He":"Upper limit"}";;"No";
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"G-B: High resolution IR";2307.05580;"{"He":"Upper limit"}";;"No";"3sigma upper limit of <0.26% with SPIRou"
"AU Mic b";"Confirmed";0.028;0.4273;"Warm";8.463446;0.07;"AU Mic";9.79;3700.0;0.75;569.5;8.6;5.4360000;4.5290000;1.15;1173.3021;60.7676;;"7/26/24";"HST STIS";2307.15024;"{"H":"Upper limit"}";;"No";"Lyα absorption in one visit, although another visit does not show evidence of absorption."
"beta Pic b";"Confirmed";11.9;1.65;"Temperate Jupiter";7707.0;9.93;"beta Pic";19.3;8052.0;1.8;165.30989481434;3.86;;;1.15;;;"bet Pic b";"7/7/22";"G-B: High resolution IR";2501.08445;"{"H2O":"Detection","SiO2":"No detection"}";;"No";
"beta Pic b";"Confirmed";11.9;1.65;"Temperate Jupiter";7707.0;9.93;"beta Pic";19.3;8052.0;1.8;165.30989481434;3.86;;;1.15;;;"bet Pic b";"7/7/22";"G-B: High resolution IR";2405.08867;"{"H2O":"Detection","CO":"Detection"}";;"No";
"beta Pic b";"Confirmed";11.9;1.65;"Temperate Jupiter";7707.0;9.93;"beta Pic";19.3;8052.0;1.8;165.30989481434;3.86;;;1.15;;;"bet Pic b";"7/7/22";"G-B: High resolution IR";2311.13527;"{"CO":"Detection","H2O":"Detection","Molecular ratios: C/O, etc...":"Detection"}";;"No";
"CI Tau b";"Confirmed";11.6;9.1277049326556;"Jupiter";8.9891;;"CI Tau";158.0;;;;13.0;9.4800000;7.7930000;1.15;;;;"6/12/19";"G-B: High resolution IR";"2019ApJ...878L..37F";"{"CO":"Detection"}";;"No";
"CoRoT-1 b";"Confirmed";1.03;1.49;"Hot Jupiter";1.50896848;0.0254;"CoRoT-1";460.0;6298.0;1.11;1.89800000000e+03;13.6;12.4620000;12.1490000;1.15;80.9412;71.5519;;"12/21/21";"G-B: Low resolution visible";2305.19441;"{"Rayleigh Scattering":"Detection"}";;"No";
"CoRoT-1 b";"Confirmed";1.03;1.49;"Hot Jupiter";1.50896848;0.0254;"CoRoT-1";460.0;6298.0;1.11;1.89800000000e+03;13.6;12.4620000;12.1490000;1.15;80.9412;71.5519;;"12/21/21";"HST WFC3";2206.03517;"{"Featureless spectra":"Detection"}";0;"No";
"CoRoT-1 b";"Confirmed";1.03;1.49;"Hot Jupiter";1.50896848;0.0254;"CoRoT-1";460.0;6298.0;1.11;1.89800000000e+03;13.6;12.4620000;12.1490000;1.15;80.9412;71.5519;;"12/21/21";"HST WFC3";2204.11729;"{"H2O":"Detection","VO":"Detection","H-":"Detection"}";;"No";
"CoRoT-2 b";"Confirmed";3.31;1.465;"Hot Jupiter";1.7429964;0.0281;"CoRoT-2";300.0;5575.0;0.902;1523.1000611638;12.57;10.7830000;10.3100000;1.15;63.0374;198.1424;;"1/25/14";"Spitzer";2408.13308;"[]";0.33;"Yes";"Dayside and nightside temperatures from phase curve at 4.5 um."
"CoRoT-2 b";"Confirmed";3.31;1.465;"Hot Jupiter";1.7429964;0.0281;"CoRoT-2";300.0;5575.0;0.902;1523.1000611638;12.57;10.7830000;10.3100000;1.15;63.0374;198.1424;;"1/25/14";"Spitzer";"2010A&A...511A...3G";"[]";;"No";"Poor heat distribution on the night side of the planet and agree better with an atmosphere free of temperature inversion"
"CoRoT-2 b";"Confirmed";3.31;1.465;"Hot Jupiter";1.7429964;0.0281;"CoRoT-2";300.0;5575.0;0.902;1523.1000611638;12.57;10.7830000;10.3100000;1.15;63.0374;198.1424;;"1/25/14";"Spitzer";"2011ApJ...726...95D";"[]";;"No";"The spectrum of CoRoT-2 is unusual because the 8 μm contrast is anomalously low."
"DS Tuc A b";"Confirmed";0.0453;0.5085;"Hot";8.138268;0.0795;"DS Tuc A";44.12;5597.0;0.872;8.50000000000e+02;9.0;7.1220000;6.6760000;1.15;620.8099;42.8198;"HD 222259 A b, TIC 4102214986 b";"12/9/21";"G-B: High resolution visible";2103.12922;"{"H":"No detection"}";;"No";"Stellar activity prevents the detection of atoms/molecules via transmission spectra or cross-correlation"
"GJ 1132 b";"Confirmed";0.00522;0.1035;"Warm";1.628931;0.0154;"GJ 1132";12.04;3270.0;0.207;580.0;13.5;9.2450000;8.3220000;0.19;34.1894;10.1573;;"11/22/23";"HST WFC3";"2021AJ....161..213S";"{"HCN":"Detection","CH4":"Upper limit"}";0;"No";
"GJ 1132 b";"Confirmed";0.00522;0.1035;"Warm";1.628931;0.0154;"GJ 1132";12.04;3270.0;0.207;580.0;13.5;9.2450000;8.3220000;0.19;34.1894;10.1573;;"11/22/23";"HST WFC3";2104.01873;"{"HCN":"No detection"}";0;"No";"independent analysis does not confirm claimed HCN from Swain et al. 2021"
"GJ 1132 b";"Confirmed";0.00522;0.1035;"Warm";1.628931;0.0154;"GJ 1132";12.04;3270.0;0.207;580.0;13.5;9.2450000;8.3220000;0.19;34.1894;10.1573;;"11/22/23";"G-B: Low resolution visible";"2018AJ....156...42D";"[]";0;"No";"No clear, low mean molecular weight atmosphere"
