,P_NAME,P_RADIUS,P_TEMP_EQUIL,P_ESCAPE,P_ECCENTRICITY,S_DISTANCE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_ESI,S_TEMPERATURE,S_AGE,P_GRAVITY,P_DENSITY
1021,CoRoT-36 b,15.805,1583.353,3.6978864,0,925.958,6.5012969,1.8084627,4.1849971,0.058335794,6730,2.1,0.86519227,0.054741681
1022,KOI-1599.01,1.9,728.65593,1.5559732,0.014,1131.64,1.4521116,0.90134352,2.1204916,0.27947451,5833,4.7,1.2742382,0.6706517
1023,Kepler-317 b,2.09,915.02886,7.2481643,0,940.584,0.61944108,0.60049013,1.4263176,0.25814723,5497,3.72,25.136787,12.027171
1024,Kepler-454 b,2.37,845.25954,1.5094638,0.32,230.869,1.1297959,0.80203374,1.894277,0.24658368,5687,5.25,0.96138439,0.40564742
1025,HD 220197 b,9.32,153.5995,2.6115869,0.187,64.411,0.99311605,0.75213491,1.7766241,0.21609308,5683,10.165,0.7318011,0.078519431
1026,Kepler-299 c,2.65,938.7516,1.6834376,0,1052.24,0.90364947,0.72025607,1.7045593,0.23094311,5617,0.4,1.0694197,0.40355461
1027,Kepler-295 b,1.22,1162.8725,1.2739509,0,1699.19,4.2559841,1.5643829,3.7038003,0.29266296,5603,8.8,1.3302876,1.0903996
1028,Kepler-759 b,2.27,546.72,1.5943181,0,1073.48,1.1508004,0.80108833,1.8833406,0.30039597,5860,3.89,1.1197578,0.49328538
1029,Kepler-906 b,2.11,554.28834,1.5546902,0,757.791,1.2473835,0.82518505,1.9319705,0.30579039,6035,1.86,1.1455268,0.54290371
1030,Kepler-955 b,3.13,611.69578,1.7838466,0,550.383,0.38994199,0.48037876,1.1465265,0.24085714,5350,4.37,1.0166481,0.32480771
1031,K2-355 b,2.25,948.39918,1.5902481,,500.497,0.76736149,0.65692714,1.5472085,0.24922594,5790,,1.1239506,0.49953361
1032,K2-398 b,2.274,1149.4467,1.5956736,,606.992,1.8197009,1.0020972,2.3509641,0.24441537,5946,,1.1196896,0.49238769
1033,OGLE-2014-BLG-0319L b,14.1,,3.584464,,7730,,,,,,,0.91123279,0.064626439
1034,Kepler-538 b,2.215,384.39672,2.4132815,0.21,155.956,0.6622165,0.61956021,1.4699193,0.44640241,5534,5.3,2.6293128,1.1870487
1035,DMPP-4 b,3.53,1505.694,1.8590564,0.063,25.3284,2.8773984,1.225937,2.8501261,0.1910937,6400,2.15,0.97906251,0.27735482
1036,HD 36384 b,12.7,989.1919,12.851874,0.2,209.309,388.15037,16.000004,40.618567,0.074683437,3940,0.113,13.005564,1.0240602
1037,KOI-351 f,2.88,429.26857,1.7330529,0,848.254,1.8578045,1.0042877,2.3489869,0.35110344,6080,0.53,1.0428723,0.36210844
1038,K2-180 b,2.52,730.30064,2.1308226,0,203.896,0.36391504,0.46518409,1.1119419,0.24867972,5306,9.5,1.8017479,0.71497933
1039,KMT-2019-BLG-0297L b,12.1,,22.339861,,3090,,,,,,,41.245405,3.4087111
1040,OGLE-TR-113 b,12.251,1239.9735,5.7172586,0.15,566.459,0.29580125,0.43006439,1.0488529,0.074274381,4790,13.2,2.6681125,0.21778732
1041,TOI-2525 c,10.133,395.66401,4.5395209,0.157,395.398,0.36307805,0.46975681,1.1315149,0.23219708,5096,3.99,2.0336771,0.20069842
1042,TOI-2803 A b,18.114,1731.9884,4.1361043,0,494.818,2.1677041,1.0717229,2.4967868,0.051367387,6280,3.7,0.94442746,0.052137985
1043,TOI-3819 b,13.137,1493.4894,5.1821472,0,558.141,2.5118864,1.1836048,2.7826984,0.068955151,5859,4.5,2.0441995,0.15560627
1044,WASP-150 b,11.994,1320.9772,14.972717,0.3775,527.995,3.6140986,1.3890245,3.2397643,0.07508595,6218,2.95,18.691199,1.5583791
1045,gam1 Leo b,12.5,989.14567,14.941031,0.144,39.8883,323.59366,14.465436,36.026192,0.075749398,4330,2.412,17.858752,1.4287002
1046,TOI-2095 b,1.25,346.08998,1.811077,0,41.9176,0.034753616,0.15190742,0.38914912,0.60589256,3759,1,2.624,2.0992
1047,HD 110067 c,2.388,641.64075,1.6242509,,32.1585,0.43451022,0.50939908,1.2193407,0.26746318,5266,8.1,1.1047701,0.46263404
1048,TOI-712 d,2.474,287.00952,1.6431923,0.073,58.6212,0.18706821,0.34433668,0.84599725,0.65669073,4622,0.83,1.0913827,0.44114095
1049,TOI-2202 c,13.4,512.81792,2.9584016,0.0622,235.933,0.39719155,0.49014212,1.1784746,0.12659734,5144,7.48,0.6531448,0.048742149
1050,TOI-500 e,3.99,324.47005,1.9421457,0.073,47.3924,0.19952623,0.35794039,0.88681165,0.46972008,4440,5,0.94534582,0.23692878
1051,Kepler-1312 b,2.1,979.92097,1.5522641,0,299.104,0.79615935,0.67199418,1.5857292,0.25575271,5719,2,1.1473923,0.54637728
1052,Kepler-84 c,2.36,879.02721,2.9256319,0,1023.9,1.629296,0.9428558,2.2072722,0.24633795,6039,3.98,3.6268314,1.536793
1053,Kepler-100 c,2.2,970.69997,1.7901244,0.02,304.645,2.5763212,1.2011586,2.8264144,0.25105508,5825,6.46,1.4566116,0.66209617
1054,Kepler-1221 b,1.88,689.89915,1.492891,0,913.65,0.44157045,0.51547178,1.2370824,0.28526323,5194,4.57,1.1854912,0.63058041
1055,Kepler-384 b,1.12,831.70412,1.1417405,0,895.678,2.4888573,1.1981242,2.8388557,0.30407896,5577,1.5,1.1639031,1.0391992
1056,Kepler-221 d,2.73,684.44741,1.7011093,0,385.231,0.3944573,0.48594703,1.1641574,0.24461063,5243,4.57,1.0599901,0.38827475
1057,Kepler-1348 b,1.94,668.95984,1.5094206,0,1213.82,1.599558,0.94153256,2.2107325,0.28531733,5911,3.72,1.1744075,0.60536468
1058,Kepler-329 b,1.4,589.77287,1.3469542,0,439.719,0.10690549,0.26348941,0.65853342,0.33001479,4257,3.47,1.2959184,0.92565598
1059,Kepler-132 d,1.55,779.97423,1.3958464,0,349.549,1.6255488,0.9438432,2.2113693,0.29217742,6003,4.37,1.2570239,0.81098318
1060,Kepler-1739 b,2.431,890.19125,1.6326573,0,783.666,0.72443596,0.63955568,1.5076201,0.24254129,5757,0.4,1.096491,0.45104527
1061,Kepler-1783 b,1.319,708.1159,1.3205095,0,264.078,0.35399734,0.46307653,1.1140272,0.3093059,5129,13.9,1.3220207,1.0022901
1062,EPIC 220674823 c,2.836,722.06232,1.771503,0.13,244.59,0.76032628,0.66394725,1.5753256,0.23523564,5532,7.5,1.1065666,0.39018568
1063,KMT-2021-BLG-1077L c,10.6,,2.7378738,,8240,,,,,,,0.70716536,0.066713713
1064,Kepler-337 b,1.54,1583.9572,1.3933982,0,677.975,3.0269134,1.3130159,3.1013982,0.27801467,5684,8.2,1.2607522,0.81867028
1065,Kepler-23 c,3.2,997.17471,16.375477,0.02,835.756,2.3014418,1.1397254,2.6864497,0.20706578,5760,6,83.798828,26.187134
1066,K2-265 b,1.71,1249.4147,1.9556486,0.084,138.671,0.66069345,0.62087051,1.4756596,0.27137533,5477,9.7,2.2365856,1.3079448
1067,Kepler-1721 b,3.119,884.6389,1.7815988,0,641.374,0.39174188,0.48145973,1.1490674,0.21338564,5351,0.7,1.0176641,0.32627896
1068,Kepler-79 d,7.16,578.95098,0.9154173,0.025,1020.72,2.1978599,1.0861008,2.5354076,0.1542328,6174,3.44,0.11703755,0.016346026
1069,Kepler-446 b,1.5,517.68313,1.380821,0,96.339,0.0056493697,0.061576245,0.16089923,0.35551275,3359,3.72,1.2711111,0.84740741
1070,Kepler-100 d,1.61,685.81105,1.3650473,0.38,304.645,2.5763212,1.2011586,2.8264144,0.29678176,5825,6.46,1.1573628,0.71885885
1071,Kepler-81 d,1.21,426.81996,1.2596733,0,348.291,0.12912193,0.28735677,0.70994845,0.44802916,4500,3.63,1.3113858,1.0837899
1072,Kepler-480 b,2.78,1363.71,1.7122075,0,847.508,3.0060763,1.2588862,2.9306127,0.21997191,6322,2.34,1.054552,0.37933527
1073,Kepler-31 c,5.3,594.10476,16.787799,0,1664.64,1.9998619,1.0256958,2.3870088,0.18166376,6340,0.28,53.175507,10.033115
1074,Kepler-527 b,2.84,893.4964,1.7249209,0,750.04,2.1037784,1.0490037,2.4392649,0.22426903,6388,2.4,1.0476592,0.36889408
1075,Kepler-262 b,1.36,715.13467,1.3339459,0,613.129,0.72443596,0.63632673,1.4967098,0.30685832,5841,3.55,1.308391,0.96205221
1076,Kepler-1075 b,1.42,930.71785,1.3531393,0,291.275,0.077090347,0.22539738,0.57166502,0.2900978,3959,2.95,1.2894267,0.90804697
1077,Kepler-51 b,7.1,468.13771,0.54385168,0.04,783.831,0.72110748,0.62806147,1.4710122,0.20282349,6018,0.3,0.041658401,0.0058673804
1078,Kepler-100 b,1.32,1192.7246,2.3580937,0.13,304.645,2.5763212,1.2011586,2.8264144,0.28907074,5825,6.46,4.2125803,3.1913487
1079,Kepler-334 c,1.43,804.28102,1.3561566,0,426.59,1.1376273,0.79803442,1.8776886,0.29577865,5828,1.6,1.2861265,0.89938913
1080,Kepler-403 c,1.75,677.20707,1.456022,0,840.269,4.4055486,1.5455856,3.6142873,0.29381148,6090,3.09,1.2114286,0.6922449
1081,Kepler-411 e,3.28,422.02316,1.8145751,0.016,153.676,0.26061535,0.40293351,0.98090311,0.3404574,4832.69,0.212,1.0038667,0.30605693
1082,Kepler-436 c,2.33,491.46821,1.6100542,0,588.867,0.18578045,0.34230623,0.83864939,0.32606939,4685,4.07,1.1125642,0.47749538
1083,Kepler-1384 b,1.94,556.64782,1.5094206,0,618,0.28906799,0.42272244,1.0253885,0.31399112,4919,4.57,1.1744075,0.60536468
1084,Kepler-414 c,3.01,874.20064,3.1517542,0,413.46,0.67764151,0.62666211,1.4866771,0.21807335,5536,5.5,3.3001843,1.0964068
1085,Kepler-288 d,2.67,491.08737,1.6882498,0,1194.15,1.1376273,0.79368903,1.8632776,0.30890212,5918,3.72,1.0674859,0.39980744
1086,Kepler-1276 b,1.19,883.08461,1.2332917,0,538.481,1.6595869,0.94297583,2.2006841,0.29992554,6188,3.09,1.2781583,1.0740826
1087,Kepler-252 b,1.23,672.79958,1.2878418,0,379.424,0.16368165,0.32647823,0.81790653,0.31746539,4208,13.9,1.3484037,1.0962632
1088,Kepler-401 c,2.15,680.33618,1.565619,0,965.56,3.6812897,1.4105151,3.2965541,0.27279322,6117,3.55,1.1400757,0.53026778
1089,Kepler-85 b,1.97,814.67675,1.5180805,0,765.025,0.61376201,0.5976628,1.4195127,0.26885435,5499,4.37,1.1698317,0.59382322
1090,Kepler-1280 b,1.87,610.88282,1.4915089,0,1486.7,4.7752927,1.5957802,3.7213601,0.30073909,6227,2.82,1.1896251,0.63616315
1091,Kepler-392 b,1,1173.3395,0.9859006,0,681.428,1.5667511,0.93029679,2.1829322,0.29602836,5938,2.97,0.972,0.972
1092,Kepler-185 b,1.17,1181.9879,1.208941,0,466.735,0.31332857,0.4338985,1.0407821,0.29376191,5208,11.9,1.2491782,1.0676737
1093,Kepler-755 c,1.26,1022.1548,1.3001831,0,399.034,0.34914032,0.46185784,1.1147702,0.29362808,5043,4.9,1.3416478,1.0647998
1094,Kepler-1457 b,1.99,558.15754,1.5236824,0,889.885,1.6405898,0.95614206,2.2475298,0.31072113,5866,3.72,1.1666372,0.58624985
1095,Kepler-417 c,2.69,581.89891,1.6918787,0,973.989,0.38815037,0.4837124,1.1615889,0.267515,5177,4.9,1.0641091,0.3955796
1096,Kepler-1111 b,2,819.10856,1.5264338,0,841.536,0.81283052,0.6644123,1.5541327,0.26706672,6077,3.16,1.165,0.5825
1097,Kepler-187 b,1.41,1392.9121,1.3500722,0,1143,3.1117163,1.2977636,3.0338022,0.2842914,6105,3.72,1.2926915,0.91680249
1098,Kepler-206 d,1.19,662.22551,1.2332917,0,594.447,1.2133889,0.82736278,1.9499696,0.32042143,5764,7,1.2781583,1.0740826
1099,Kepler-345 b,0.74,745.72335,0.82199494,0,260,0.31988951,0.45223133,1.1170833,0.30382734,4504,2.75,0.91307524,1.2338855
1100,Kepler-87 c,6.14,373.75332,1.0209531,0.039,1232.9,2.1183611,1.1038734,2.6137399,0.31637112,5600,7.5,0.16976307,0.027648709
1101,Kepler-1289 b,1.52,996.9305,1.3860204,0,1053.57,1.4454398,0.88584581,2.0719563,0.28387449,6080,2.95,1.2638504,0.83148054
1102,Kepler-353 b,0.89,569.59297,0.8479983,0,384.694,0.065012969,0.20722556,0.52704847,0.34599959,3903,3.39,0.80797879,0.90784134
1103,KMT-2021-BLG-1303L b,13.6,,2.9800167,,6280,,,,,,,0.65297789,0.04801308
1104,Kepler-285 c,1.12,857.55054,1.1417405,0,824.31,0.52601727,0.55605391,1.3244338,0.30267075,5411,0.6,1.1639031,1.0391992
1105,Kepler-191 c,1.86,561.04116,1.4883057,0,594.464,0.38547836,0.47938713,1.1468537,0.31663035,5282,0.9,1.1908891,0.64026297
1106,Kepler-366 c,1.79,1068.202,1.468477,0,1856.28,3.7411059,1.4139918,3.2985711,0.2694789,6209,0.3,1.2047065,0.67302037
1107,Kepler-367 c,1.2,355.04994,1.2483322,0,188.027,0.24154608,0.3899224,0.95425762,0.58415034,4710,2.29,1.2986111,1.0821759
1108,Kepler-1419 b,2.86,533.71563,1.7290201,0,1498.58,1.1015393,0.78679261,1.8527778,0.27730449,5796,4.37,1.0452834,0.3654837
1109,Kepler-1422 b,2.02,851.03788,1.5318403,0,2465.84,2.7989813,1.2241716,2.856592,0.26431269,6194,3.02,1.1616508,0.57507466
1110,Kepler-825 c,1.84,990.78363,1.4817733,0,807.85,1.3182567,0.85136428,1.9959338,0.26851032,5976,3.55,1.1932892,0.64852675
1111,Kepler-298 c,1.93,452.98128,1.5064628,0,518.204,0.18492686,0.34430657,0.85203555,0.37946811,4465,2.4,1.1758705,0.60925932
1112,Kepler-1307 b,2.47,611.85426,1.6420585,0,1014.62,0.62373484,0.58890879,1.3836823,0.26986868,5884,4.07,1.0916422,0.44196041
1113,Kepler-535 b,2.36,1271.9103,1.6169127,0,685.599,2.1928049,1.0882254,2.5430044,0.23927121,6123,3.24,1.1077995,0.46940656
1114,HD 156668 c,6.17,149.17101,2.259387,0.089,24.3323,0.29040227,0.42399309,1.0291179,0.2444913,4903.69,8.6,0.82736302,0.13409449
1115,TOI-1670 c,11.063,642.36179,4.2543202,0.09,168.067,2.5118864,1.1613838,2.7113658,0.10495075,6170,2.53,1.6360156,0.14788173
1116,HIP 38594 c,7.94,70.749395,2.4689508,0.16,17.7886,0.086696188,0.23834487,0.60069227,0.11156117,4086.3,,0.76772266,0.096690511
1117,Kepler-136 b,2.05,1023.7567,3.1078186,0,420.818,2.9308932,1.2548964,2.9299737,0.25726895,6165,2.75,4.7114813,2.2982835
1118,CoRoT-35 b,18.831,1514.855,4.3087967,0,1123.21,2.3014418,1.0970477,2.5508977,0.049928133,6390,6.1,0.98591309,0.052355854
1119,Kepler-1676 b,3.377,604.83572,1.8292526,0,,1.2133889,0.82167169,1.930848,0.23298734,5878.3,0.3,0.99086918,0.29341699
1120,Kepler-328 b,2.3,699.8212,3.5201285,0,2213.19,2.7542287,1.2240026,2.8638801,0.26265248,6064,2.57,5.3875236,2.3424016
1121,Kepler-384 c,1.13,658.63334,1.1559772,0,895.678,2.4888573,1.1981242,2.8388557,0.32247211,5577,1.5,1.1825515,1.0465057
1122,Kepler-1194 b,1.51,680.14013,1.3834404,0,757.382,0.74644876,0.65565124,1.5529062,0.30516993,5590,4.79,1.2674883,0.8393962
1123,Kepler-1591 b,1.27,1160.6184,1.3011201,0,1419.58,2.7164393,1.2142416,2.8399385,0.29116045,6082,3.24,1.3330027,1.0496084
1124,Kepler-400 b,1.65,942.62745,1.4270121,0,845.97,1.4190575,0.88816833,2.0867103,0.27921771,5886,3.63,1.2341598,0.74797562
1125,Kepler-1211 b,2.55,876.76175,1.6615608,0,1826.53,1.3614447,0.87948385,2.0761555,0.23759165,5705,4.17,1.0826605,0.42457275
1126,Kepler-206 b,1.2,957.30959,1.2483322,0,594.447,1.2133889,0.82736278,1.9499696,0.29700362,5764,7,1.2986111,1.0821759
1127,Kepler-84 e,2.6,676.48851,1.6721704,0,1023.9,1.629296,0.94331649,2.208743,0.25158819,6031,3.98,1.0754438,0.41363223
1128,Kepler-1135 b,1.85,558.88587,1.4850607,0,1314.64,2.7352687,1.2502301,2.9554487,0.31798378,5656,4.47,1.192111,0.64438434
1129,Kepler-1216 b,1.39,1166.1812,1.343784,0,1258.36,1.1830416,0.81797991,1.9289488,0.28671129,5743,4.07,1.2991046,0.93460763
1130,Kepler-1217 b,1.99,1481.6339,1.5236824,0,1347.71,1.216186,0.82128487,1.9286708,0.25631313,5905,3.8,1.1666372,0.58624985
1131,Kepler-1336 b,1.98,812.77318,1.5208982,0,1126.64,2.6363314,1.2377499,2.9385912,0.26846631,5512,12.3,1.1682481,0.59002431
1132,Kepler-1680 b,1.36,672.88629,1.3339459,0,310.315,0.29922646,0.42802736,1.0340073,0.31284007,5021,13.8,1.308391,0.96205221
1133,BD+45 564 b,13.6,222.03339,5.6376272,0.12,53.622,0.3990249,0.49468207,1.1958323,0.36203391,5004,,2.3369736,0.17183629
1134,Kepler-250 b,1.13,893.77683,1.1559772,0,760.585,0.34914032,0.4591631,1.103331,0.30083132,5160,13.2,1.1825515,1.0465057
1135,Kepler-1151 b,2.22,370.02272,1.5825626,0,682.436,0.45498806,0.51543481,1.2253377,0.47826706,5470,4.37,1.1281552,0.50817801
1136,Kepler-1462 b,3.82,382.24301,1.9143985,0,1017.82,0.4852885,0.5234852,1.2340412,0.37077781,5756,4.07,0.95940353,0.25115276
1137,Kepler-1466 b,1.55,570.45987,1.3958464,0,631.949,0.94841846,0.72618627,1.7062254,0.32940514,5884,3.89,1.2570239,0.81098318
1138,Kepler-1470 b,1.07,565.41941,1.0765122,0,590.601,0.32658783,0.44844605,1.0859295,0.34841669,4961,4.57,1.083064,1.0122094
1139,Kepler-641 b,1.85,1075.4873,1.4850607,0,969.918,2.4547089,1.1803774,2.7858417,0.26636557,5713,7.08,1.192111,0.64438434
1140,Kepler-1604 b,1.41,1993.6766,1.3500722,0,541.189,0.2971666,0.42746834,1.0345067,0.28310507,4976,4.17,1.2926915,0.91680249
1141,Kepler-1549 b,2.57,266.21594,1.6656287,0,803.052,0.5333349,0.56260133,1.3439637,0.68288219,5324,4.79,1.0795016,0.42003953
1142,Kepler-1594 b,1.06,1280.1242,1.0639904,0,976.868,1,0.7428649,1.7427937,0.29480666,5946,3.89,1.0679957,1.0075431
1143,Kepler-1475 b,2.92,482.77558,1.7409256,0,1568.38,1.7947336,0.97907331,2.283769,0.3025657,6214,2.82,1.0379527,0.35546326
1144,K2-35 b,1.32,910.3493,1.3200092,0.13,252.596,0.15739829,0.31830402,0.78999758,0.29462754,4402.71,,1.3200184,1.0000139
1145,Kepler-154 f,1.5,879.71223,1.380821,0,915.212,1.0789467,0.77994793,1.8379739,0.28856971,5769,4.47,1.2711111,0.84740741
1146,Kepler-239 b,2.33,628.76435,1.6100542,0,648.109,0.33496544,0.45515015,1.1042741,0.27290701,4914,3.31,1.1125642,0.47749538
1147,Kepler-184 b,2.36,737.82913,1.6169127,0,610.326,0.59566214,0.5788546,1.3634023,0.25549478,5788,1.7,1.1077995,0.46940656
1148,Kepler-713 b,2.48,978.13525,1.6448845,0,1089.87,1.216186,0.82727118,1.9486636,0.23755803,5785,3.8,1.090986,0.43991369
1149,Kepler-1418 b,1.66,493.70106,1.4290447,0,499,0.2421029,0.38940488,0.95050764,0.36190761,4770,3.63,1.2302221,0.74109765
1150,HD 80653 b,1.613,2269.4201,1.8831323,0,109.86,1.7378008,0.97851097,2.294926,0.27391442,5959,2.67,2.1985042,1.3629908
1151,K2-18 c,2.65,408.68304,1.6834376,0.47,38.0266,0.02529298,0.13014532,0.33844445,0.36449197,3457,,1.0694197,0.40355461
1152,Kepler-121 b,2.34,981.90033,1.6119214,0,510.523,0.33573761,0.4466911,1.0675524,0.24402339,5311,0.5,1.1103806,0.47452162
1153,Kepler-248 c,4.07,571.01452,1.9577854,0,738.792,0.38194427,0.47950714,1.1509395,0.21895602,5190,2.34,0.94175033,0.23138829
1154,Kepler-1504 b,2.13,547.97938,1.559463,0,2435.94,2.9376497,1.3153839,3.1349073,0.30724283,5393,4.47,1.1417488,0.53603229
1155,Kepler-635 b,2.64,925.97747,1.680999,0,1141.08,5.4325033,1.707537,3.9860962,0.2317737,6174,2.34,1.0703627,0.40544042
1156,Kepler-386 b,1.39,652.32511,1.343784,0,882.462,0.39627803,0.48872527,1.1735835,0.31524364,5178,4.68,1.2991046,0.93460763
1157,Kepler-1245 c,1.44,1042.5052,1.3616779,0,805.936,0.38815037,0.48042417,1.1483707,0.28643207,5306,4.57,1.2876157,0.8941776
1158,Kepler-953 c,1.19,810.20716,1.2332917,0,258.893,0.76032628,0.66833699,1.5916127,0.30387174,5416,8.71,1.2781583,1.0740826
1159,K2-170 c,1.802,825.70567,1.4711431,,392.872,1.1803206,0.81679414,1.9258912,0.27669698,5748,,1.2010333,0.66650014
1160,Kepler-390 c,0.79,654.54427,0.72740217,0,435.277,0.44463127,0.51800415,1.2444438,0.31953565,5166,3.24,0.66976446,0.84780311
1161,Kepler-599 b,2.84,561.62336,1.7249209,0,558.517,0.30060763,0.42677278,1.0267684,0.26727774,5127,5.01,1.0476592,0.36889408
1162,Kepler-151 b,3.06,617.12155,1.770307,0,649.919,0.46344692,0.52049906,1.2377732,0.24244914,5460,4.6,1.0241787,0.33469893
1163,Kepler-143 b,2.41,846.63818,1.6283281,0,809.467,1.9678863,1.0483255,2.4653369,0.24544047,5848,5.62,1.1001877,0.45650941
1164,Kepler-200 b,2.13,904.80443,1.559463,0,665.912,1.0185914,0.76194659,1.8000548,0.25652262,5678,6.3,1.1417488,0.53603229
1165,Kepler-582 b,3.68,566.82754,1.8867386,0,613.179,0.38547836,0.47187821,1.1185149,0.23276712,5564,4.47,0.96733223,0.26286202
1166,Kepler-342 e,0.88,1931.5942,0.83598064,0,781.611,2.837919,1.219958,2.8378339,0.29188104,6366,2.04,0.79416322,0.90245821
1167,K2-131 b,1.69,1998.5351,2.1620722,0,152.509,0.33189446,0.44859066,1.0795454,0.27036319,5120,5.3,2.7660096,1.6366921
1168,LHS 1478 b,1.242,544.81459,1.3696738,,18.2276,0.0071449633,0.069232178,0.18071053,0.35288851,3381,,1.5104722,1.2161612
1169,TOI-763 b,2.28,951.65742,2.072163,0.04,95.1274,0.7014553,0.64071592,1.5241455,0.2476747,5450,,1.8832718,0.82599639
1170,HD 28109 b,2.199,892.79264,2.900189,0.3307,139.611,2.8575905,1.2425054,2.9037125,0.25285688,6120,1.1,3.8249641,1.7394107
1171,Kepler-1990 c,0.98,1213.7645,0.96044208,0,392.739,1.3091819,0.86007151,2.0277688,0.29559565,5751,2.5,0.94127447,0.96048415
1172,CoRoT-5 b,15.558,1269.7213,3.0886545,0.09,882.472,1.5135612,0.9053741,2.1167303,0.060161229,6100,6.9,0.61317564,0.039412241
1173,Kepler-495 c,1.219,896.9444,1.2744733,0,658.924,0.5794287,0.5842203,1.3923977,0.29855495,5392,0.6,1.332471,1.0930853
1174,Kepler-102 b,0.46,774.13852,1.5463843,0.1,107.796,0.26061535,0.40156311,0.97446273,0.26131397,4909,1.1,5.1984877,11.30106
1175,Kepler-1842 b,2.354,736.83579,1.6150313,0,923.551,0.9418896,0.71990365,1.6879736,0.25588139,5970,7,1.10804,0.4707052
1176,Kepler-1596 b,1.9,573.82354,1.4991226,0,2146.23,2.6977394,1.2379469,2.9222808,0.30994494,5706,3.89,1.1828255,0.62253973
1177,Kepler-235 b,2.23,702.26148,1.58468,0,428.018,0.079067863,0.22661457,0.56642782,0.26580221,4255,6,1.1261035,0.50497914
1178,Kepler-698 b,3.68,899.03758,1.8867386,0,1995.57,2.4434306,1.1847159,2.8041632,0.19300778,5612,4.27,0.96733223,0.26286202
1179,Kepler-1482 b,1.01,761.90856,1,0,567.556,0.82603795,0.69797787,1.6641319,0.31033882,5381,4.47,0.99009901,0.98029605
1180,TOI-2202 b,11.321,653.85586,5.2399047,0.042,235.933,0.39719155,0.49014212,1.1784746,0.10173554,5144,7.48,2.4252805,0.21422847
1181,Kepler-126 c,1.58,819.12989,0.89986638,0.19,237.401,2.831392,1.2278847,2.8627752,0.28768302,6239,3.39,0.51250601,0.32437089
1182,Kepler-1876 b,0.853,1183.733,1.6773786,0.098,259.935,2.6853444,1.2056523,2.8185315,0.29366715,6104,4.4,3.2984749,3.8669107
1183,Kepler-1608 b,1.73,557.28906,1.4505331,0,832,0.29040227,0.42225497,1.0212362,0.32502938,4992,5.13,1.2162117,0.70301254
1184,Kepler-700 b,5.99,486.22831,2.2379337,0,1491.76,1.6982437,0.98302297,2.3214187,0.20974618,5692,4.37,0.83611807,0.13958565
1185,Kepler-1065 c,1.6,1284.7555,1.4120021,0,1122.48,0.76559661,0.66225867,1.5664786,0.27643563,5635,4.47,1.2460937,0.77880859
1186,Kepler-1991 b,1.47,733.54187,1.3702376,0,855.82,0.77983011,0.67449127,1.6030523,0.30011222,5478,0.4,1.2772456,0.86887455
1187,HD 213885 b,1.745,1945.5201,2.2494826,0,48.0883,1.3772095,0.87008651,2.0397316,0.26771445,5978,3.8,2.899812,1.6617834
1188,TOI-672 b,5.26,613.64601,2.1405021,,66.9071,0.047752927,0.17804728,0.45597601,0.17809463,3765,,0.87105495,0.1655998
1189,TOI-2096 c,1.914,353.01857,1.5023493,0.1,48.4809,0.0059156163,0.063050257,0.16522237,0.53629532,3300,4,1.1792337,0.61610956
1190,TOI-198 b,1.44,353.06097,1.3616779,,23.7262,0.03689776,0.15679084,0.40385357,0.57487254,3650,5.3,1.2876157,0.8941776
1191,Kepler-166 b,2.27,760.64753,1.5943181,0,603.53,0.41209752,0.49211699,1.1720688,0.2577862,5413,0.8,1.1197578,0.49328538
1192,Kepler-689 b,2.89,612.79543,1.7350448,0,1131.73,0.70307232,0.63897425,1.5167306,0.25052174,5518,4.57,1.0416542,0.36043398
1193,Kepler-160 d,12.175175,619.26317,2.865909,,937.013,1.0092529,0.76762497,1.8248084,0.10245048,5471,1.6,0.67460506,0.055408245
1194,Kepler-557 b,2.67,1788.6003,1.6882498,0,2097.12,5.3456436,1.7048111,3.9885137,0.22365678,6068,3.24,1.0674859,0.39980744
1195,Kepler-192 b,2.74,804.41184,1.7033672,0,651.674,0.80537844,0.68541188,1.6289553,0.23285711,5479,0.5,1.058927,0.38646969
1196,K2-269 b,1.57,1447.2796,1.4029087,,360.76,2.9376497,1.252988,2.9229801,0.2770343,6209,,1.2536006,0.79847169
1197,Kepler-690 b,5.95,970.74955,2.2304237,0,1665.31,1.3835664,0.87555312,2.055712,0.13730594,5913,3.55,0.83609915,0.14052086
1198,Kepler-628 b,8.4,1023.7969,2.5166115,0,897.901,4.0179081,1.5094325,3.5616664,0.10430974,5721,8.71,0.75396825,0.089758125
1199,Kepler-1714 b,3.264,1219.3443,1.8105762,0,409.46,5.7543994,1.7599664,4.1104731,0.20177569,6150,3.05,1.0043463,0.30770413
1200,Kepler-1890 b,0.869,1251.9746,0.82188142,0,529.596,1.8492686,1.00406,2.3501909,0.29357235,6046,2.65,0.77731768,0.89449676
1201,Kepler-1326 b,4.18,657.2594,1.9747206,0,698.326,3.3342641,1.2954693,2.998046,0.19671014,6725,1.7,0.93289989,0.22318179
1202,Kepler-621 b,2.3,934.69273,1.6016296,0,389,0.17418069,0.33350336,0.82315954,0.24721826,4521,3.63,1.1153119,0.48491822
1203,Kepler-1620 b,1.61,458.67739,1.4142136,0,895.069,1.9633603,1.0275887,2.3996347,0.39283057,6157,3.02,1.242236,0.77157517
